id;details.maxplayers;details.minage;details.minplayers;details.name;details.playingtime;attributes.boardgamecategory;attributes.boardgamemechanic;details.description
11;7;13;2;Bohnanza;45;Card Game,Farming,Negotiation;Hand Management,Set Collection,Trading;Bohnanza is the first in the Bohnanza family of games and has been published in several different editions...The cards are colorful depictions of beans in various descriptive poses, and the object is to make coins by planting fields (sets) of these beans and then harvesting them.  To help players match their cards up, the game features extensive trading and deal making.  One of the most unique features of the game is that you cannot rearrange your hand, as you need to play the cards in the order that you draw them...The original German edition supports 3-5 players...The English version from Rio Grande Games comes with the first edition of the first German expansion included in a slightly oversized box.  One difference in the contents, however, is that bean #22's Weinbrandbohne (Brandy Bean) was replaced by the Wachsbohne, or Wax Bean.  This edition includes rules for up to seven players, like the Erweiterungs-Set, but also adapts the two-player rules of Al Cabohne in order to allow two people to play Bohnanza...
12;5;12;2;Ra;60;Ancient,Mythology;Auction/Bidding,Press Your Luck,Set Collection;Ra is an auction and set-collection game with an Ancient Egyptian theme.  Each turn players are able to purchase lots of tiles with their bidding tiles (suns).  Once a player has used up his or her suns, the other players continue until they do likewise, which may set up a situation with a single uncontested player bidding on tiles before the end of the round occurs.  Tension builds because the round may end before all players have had a chance to win their three lots for the epoch.  The various tiles either give immediate points, prevent negative points for not having certain types at the end of the round (epoch), or give points after the final round.  The game lasts for three &quot epochs&quot  (rounds).  The game offers a short learning curve, and experienced players find it both fast-moving and a quick play...From the Box:.The game spans 1500 years of Egyptian history in less than an hour!.The players seek to expand their power and fame and there are many ways to accomplish this: Influencing Pharaohs, Building monuments, Farming on the Nile, Paying homage to the Gods, Advancing the technology and culture of the people. Ra is an auction and set collecting game where players may choose to take risks for great rewards or... And all this is for the glory of the Sun God Ra!..
13;4;10;3;Catan;120;Negotiation;Dice Rolling,Hand Management,Modular Board,Route/Network Building,Trading;In Catan (formerly The Settlers of Catan), players try to be the dominant force on the island of Catan by building settlements, cities, and roads. On each turn dice are rolled to determine what resources the island produces. Players collect these resources (cards)&mdash wood, grain, brick, sheep, or stone&mdash to build up their civilizations to get to 10 victory points and win the game...Setup includes randomly placing large hexagonal tiles (each showing a resource or the desert) in a honeycomb shape and surrounding them with water tiles, some of which contain ports of exchange. Number disks, which will correspond to die rolls (two 6-sided dice are used), are placed on each resource tile. Each player is given two settlements (think: houses) and roads (sticks) which are, in turn, placed on intersections and borders of the resource tiles. Players collect a hand of resource cards based on which hex tiles their last-placed house is adjacent to. A robber pawn is placed on the desert tile...A turn consists of possibly playing a development card, rolling the dice, everyone (perhaps) collecting resource cards based on the roll and position of houses (or upgraded cities&mdash think: hotels) unless a 7 is rolled, turning in resource cards (if possible and desired) for improvements, trading cards at a port, and trading resource cards with other players. If a 7 is rolled, the active player moves the robber to a new hex tile and steals resource cards from other players who have built structures adjacent to that tile...Points are accumulated by building settlements and cities, having the longest road and the largest army (from some of the development cards), and gathering certain development cards that simply award victory points. When a player has gathered 10 points (some of which may be held in secret), he announces his total and claims the win...Catan has won multiple awards and is one of the most popular games in recent history due to its amazing ability to appeal to experienced gamers as well as those new to the hobby...Die Siedler von Catan was originally published by KOSMOS and has gone through multiple editions. It was licensed by Mayfair and has undergone four editions as The Settlers of Catan. In 2015, it was formally renamed Catan to better represent itself as the core and base game of the Catan series. It has been re-published in two travel editions, portable edition and compact edition, as a special gallery edition (replaced in 2009 with a family edition), as an anniversary wooden edition, as a deluxe 3D collector's edition, in the basic Simply Catan, as a beginner version, and with an entirely new theme in Japan and Asia as Settlers of Catan: Rockman Edition. Numerous spin-offs and expansions have also been made for the game...
14;4;10;3;Basari;25;Negotiation;Roll / Spin and Move,Set Collection,Simultaneous Action Selection;Basari is a game of gem merchants competing in a marketplace&quot : racing, collecting, trading, and predicting what the other merchants will do...To start the game, players receive 12 gemstones (3 each of 4 colors). .Each turn there will be a movement phase and an action phase:..For movement, everyone simultaneously rolls their die and moves their markers around a track...They then choose one of three different actions to perform. The actions are:.- to take a variety of gems from a market stall, .- to immediately score from between 4 and 7 points, or .- to roll and move again and also collect points...The action cards are revealed simultaneously. If only 1 player chose a particular action, they simply perform that action. If 2 players chose the same action, they barter back and forth with gemstones. One player will eventually accept the other's offer of gems, and the other will take the action. If 3 or 4 players all chose the same action card, that action is cancelled. Note that in 4-player games, there will always be a conflict in choice of 3 actions, so much more negotiating goes on...A new turn begins with everyone rolling their die, moving, then choosing and revealing their action cards. When any merchant piece completes a lap around the board, the round ends and bonus points are awarded based on who has the majority in each gem color and who has completed a lap. After three rounds, the game is over and the highest score wins...Re-implemented by:...     Edel, Stein & Reich...
15;6;12;2;Cosmic Encounter;90;Bluffing,Negotiation,Science Fiction;Hand Management,Variable Player Powers;By request of Fantasy Flight Games, Board Game Geek lists the various editions of Cosmic Encounter in separate entries. Each edition is the same game at its core, but the features, compatible expansions, and production differ among them. This entry is for the original 1977 Eon version...Players represent alien races that are seeking to spread themselves onto five foreign worlds.  To accomplish this, they make challenges against other players and enlist the aid of interested parties.  But alien powers, which are unique to each race, give players ways to bend or outright break some rule in the game...The game continues until one player occupies five planets in other systems to win. Shared victories are possible and a player need not occupy one's own system to win...
16;4;12;3;MarraCash;60;Economic;Auction/Bidding;Taking on the roles of shop owners in the Moroccan marketplace, players buy various shops, as color-coded tourists in the form of neat little wooden people in hats start showing up at the entry gate. Players can then move them into their own like-colored shops to earn money or move them into opponents' shops for a share of the profits. After all the tourists have been placed onto the board, the player with the biggest bankroll takes the victory. This game combines some great auction elements with spatial relationships for an appealing overall effect...Contents:.  1 game board.  1 blue auction stone.  1 counter sheet with:.      - 24 shop signs (6 each of Ali, Anfa, Omar and Leila).      -   4 player aid cards.24  plastic stands.54 pawns = &quot visitors&quot  (14 yellow, 10 each of red, blue, green and purple).25 game cards with &quot souvenirs&quot .Money in different values (500, 200, 100 and 25 Dirhams)..
17;2;10;2;Button Men;5;Collectible Components,Dice,Fighting,Print & Play;Dice Rolling,Press Your Luck;This game gained a quick following after one of the major gaming conventions of 1999.  It features several characters, represented on actual stickpin buttons, that each have a unique allowance of polyhedral dice.  These dice endow each  character with fairly unique combat abilities.  Players roll the dice against each other and take their opponents' dice as casualties.  The object of the game is take out the most die 'sides' during the combat.  It's quite simple, quite inventive, and deeper than it would seem at first...
18;8;12;2;RoboRally;120;Miniatures,Racing,Science Fiction;Action / Movement Programming,Grid Movement,Modular Board,Simultaneous Action Selection;The robots of the Robo Rally automobile factory spend their weekdays toiling at the assembly line. They put in hard hours building high-speed supercars they never get to see in action. But on Saturday nights, the factory becomes a world of mad machines and dangerous schemes as these robots engage in their own epic race.It takes speed, wits, and dirty tricks to become a racing legend! Each player chooses a robot and directs its moves by playing cards. Chaos ensues as all players reveal the cards they've chosen. Players face obstacles like industrial lasers, gaping pits, and moving conveyer belts -- but those can also be used to their advantage! Each player aims to make it to each of the checkpoints in numerical order. The first player to reach all of the checkpoints wins. (source: http://avalonhill.wizards.com/games/robo-rally/comingsoon)....In RoboRally players each control a different robot in a race through a dangerous factory floor. Several goals will be placed on the board and you must navigate your robot to them in a specific order. The boards can be combined in several different ways to accommodate different player counts and races can be as long or as short as player's desire...In general, players will first fill all of their robot's &quot registers&quot  with facedown movement cards. This happens simultaneously and there is a time element involved. If you don't act fast enough you are forced to place cards randomly to fill the rest. Then, starting with the first register, everyone reveals their card. The card with the highest number moves first. After everyone resolves their movement they reveal the next card and so on. Examples of movement cards may be to turn 90 degrees left or right, move forward 2 spaces, or move backward 1 space though there are a bigger variety than that. You can plan a perfect route, but if another robot runs into you it can push you off course. This can be disastrous since you can't reprogram any cards to fix it!..Robots fire lasers and factory elements resolve after each movement and robots may become damaged. If they take enough damage certain movement cards become fixed and can no longer be changed. If they take more they may be destroyed entirely. The first robot to claim all the goals in the correct order wins, though some may award points and play tournament style...The game was reprinted by Avalon Hill (Hasbro/WotC) in 2005...
19;4;9;2;Wacky Wacky West;45;American West,Bluffing,City Building;Tile Placement,Voting;A long time ago, in a village far, far away, some disturbed townsfolk decided to destroy their entire town in order to rid themselves of an evil menace (it's technically a dog-mouse, but I think it's an idiomatic thing).  Anyway, so the villagers rebuilt all the buildings in the town (including their precious outhouses), but forgot to include city walls, a river, or roads.  To rectify this, players lay tiles with one of these three things onto the board, and any building caught underneath them is automatically eliminated, except for outhouses.  When an outhouse would be destroyed, players take a vote on whether to place that particular section.  Each player is trying to retain the most of one type of building, and once all the pieces have been placed the winner is the person with the highest valued buildings still standing...Wacky, Wacky West re-make description:..Fans of Klaus Teuber will be interested in this remake/redesign of Drunter und Dr&uuml ber, a 1991 Spiel des Jahres winner....Just south of nowhere, there's the junction of the Mayfair &amp  Rossdorf RR and the Turvy Trunk Line. Springing up from the desert like a tumbleweed lies the eccentric little town of Rossdorf. Like most western towns, Rossdorf has a Land Agent: Guy Dough, the brother of that wicked varmint Black Benny. A shrewd opportunist, Guy's done sold all the town land ('ceptin' the outhouses) four times over! Every acre in town that ain't got an outhouse on it is owned by the miners, the railroads, AND the fort captain. Just about a year ago, miners digging in the shadow of Fort Rossdorf struck the mother lode! But it wasn't gold, and it wasn't silver. No, my friend, it was just a little spring. Not any ordinary spring, though! It was a torrent of that mind-marbling drink the locals call &quot Wacky Water!&quot  ...Now that water's done what the sun and the wind couldn't do: it's made those landholders brave enough to take matters into their own hands. Now they'll use whatever means they can to bowl over the competition and lay claim to the only fertile spots left in town! Now the only thing stoppin' 'em is the Town Charter Amendment #5, which states: &quot no landholder may move, remove, or detonate any outhouse without a majority vote of the Town Citizens...&quot  Now one thing's for sure: something's gonna stink in Rossdorf, purty darn soon........In Wacky Wacky West you and your fellow townfolk place track tiles, street tiles, and river tiles hoping to destroy your rivals' buildings. Every time someone tries to build over a precious outhouse, the town votes! You try to enlist your supporters (represented by cards) to vote with you to stop or encourage the play of certain tiles-perhaps saving some of your buildings or taking out those of your dastardly opponents...
20;4;12;2;Full Metal Planète;90;Science Fiction;Action Point Allowance System;In this game of science fiction strip mining, players land on a planet and try and grab as much ore as possible and take off before the game is over.  Each player has tanks, boats, barges, mining equipment and a base ship at his disposal and will have to contend with the weather and the other miners.  The game uses an action point allowance system and thus is dice free.  Each player on his turn has a pool of points that he can divide in a variety of ways, putting all the points into one unit's movement or dividing them among several units.  Each turn is timed so players have to think quickly, and once a move has been made it cannot be retracted.  The game itself is beautifully put together, with a detailed hex grid and real metal miniatures for all of the units...Online Play: ..    Full Metal Galaxy.    Full Metal Program.    VASSAL module.....Re-implemented by:..    Full Metal Conqu&#195 &#170 te (as a two-player version).....Expanded by:..    Full Metal Planete: Plateau Modulaire......Microbadges:. - Full Metal Plan&egrave te fan  Buy It..
22;16;12;1;Magic Realm;240;Adventure,Exploration,Fantasy;Action / Movement Programming,Modular Board,Rock-Paper-Scissors,Role Playing,Simultaneous Action Selection,Variable Player Powers;From the 2nd edition rulebook intro for MAGIC REALM:..MAGIC REALM is a game of fantasy adventuring, set in a land filled with monsters, fabulous treasures, great warriors, and magicians. The scene is set in the ruins of a mighty kingdom, now inhabited by sparse groups of natives and swarms of monsters. Beneath it all are the rich remnants of a magical civilization, scattered and lost across the map..To this scene come the adventurers, seekers of riches and fame, to make a name for themselves in this promising field. Swordsman and Dwarf, Magician and Sorceror, the humans and the half-humans come seeking to loot the legendary riches of a lost civilization. Now you can play the part of one of these adventurers, stepping into an unknown Realm of magic and monsters, battles and treasures...As a player, you will take on the role of one of the sixteen major characters who are represented in detail in the game. You will control where he goes, what he tries to do, how he handles himself in combat, and much more. In the course of the game, you will run into deadly monsters, tribes of humans ranging from old friends to sworn enemies, and treasures that will enhance your abilities in many ways...MAGIC REALM is a complex game designed to recapture the suspense and desperate struggles of fantasy literature. The game creates a small but complete fantasy world, where each game is a new adventure with a new map where everything lies hidden at new locations. The game includes many more playing pieces than are actually used in a single playing. The additional pieces are set up and can appear, depending on the directions in which the characters explore, but many of the treasure troves, treasures, and spells will still be set up, unfound, when the game ends, and many of the monsters and natives might never be met. The result is an extremely unpredictable game full of surprises, a game that plays very differently each time it is played..The complete game system includes hiking, hiding and searching, fatigue, wounds, rest, trade, hiring natives, and combat between characters, monsters, and natives using a variety of weapons on horseback and afoot, as well as many magical effects...Between exploring a new land where the mountains, caves, valleys, and woods change every game, and not knowing what you will find in each place, you will find each game a new and unpredictable adventure, filled with surprises. You will find this like no other board game you have ever played...Avalon Hill Complexity rating - 9..See also the list of articles about Magic Realm in The General...
23;6;12;2;Divine Right;360;Fantasy,Political,Wargame;Dice Rolling,Hex-and-Counter,Variable Phase Order;Classic game of fantasy empires clashing.  Each player controls a unique realm and attempts to use diplomacy and might to ascend to rulership.  A colorful map and a host of fantastic creatures bring out a fleshed out fantasy world...Expanded by:..    Scarlet Empire.....
24;6;12;2;Twilight Imperium;240;Civilization,Negotiation,Political,Science Fiction,Space Exploration,Wargame;Dice Rolling,Hex-and-Counter,Modular Board,Tile Placement,Variable Player Powers,Voting;Sprawling game of space faring races out to dominate known space.  This game combines a number of elements from other game systems into a unique package.  Hex tiles create the game board and each player begins with a race with unique powers.  The game focuses heavily on a political voting phase and a web of trade agreements between players...Part of the Twilight Imperium Series...Expanded with:..    Twilight Imperium: Borderlands.    Twilight Imperium: Distant Suns.    Twilight Imperium: Twilight Armada.    Twilight Imperium: The Outer Rim.....Re-implemented in:..    Twilight Imperium (second edition).    Twilight Imperium (Third Edition).....
26;6;12;3;Age of Renaissance;360;Civilization,Economic,Medieval,Renaissance;Area Movement,Auction/Bidding;A game that is often described as a semi-sequel to Civilization...Players attempt to build up their cultures during the Middle Ages and Renaissance periods. The game features a card deck that holds events, payout cards, and famous leaders of the particular eras. Although all cards will turn up somewhere during the game, the timing and position in which they will be played is crucial and will ensure a different game every time...The main goal of each city-state is to gain points in the form of technical advances, while keeping their culture's misery level as low as possible. The payout structure is similar to those of Civilization and Advanced Civilization in that more resources of the same type yield increasingly higher payouts. This time particular payouts are triggered by card play for every player at once. An ingenious and very smooth working &ldquo combat&rdquo  system is implemented to determine province &ndash  and thus resource - control...
27;6;12;2;Supremacy;340;Economic,Political,Wargame;Commodity Speculation,Dice Rolling;Supremacy pits conventional superpowers against one another for control of the earth.  Along the lines of modern warfare Risk, only with an integrated supply/demand economic system.  Warfare comes in all forms from conventional, biological, chemical and all the way to nuclear.  Neat little plastic mushroom clouds are included to show where regions of the earth have been blasted, and if nuclear winter occurs, all players lose.  The game also spawned a great many supplements to expand the game further...
28;8;12;2;Illuminati:  Deluxe Edition;180;Card Game,Humor,Negotiation,Political;Card Drafting,Dice Rolling,Route/Network Building,Tile Placement,Variable Player Powers;In this classic Steve Jackson (I) game of world domination, each player is a secret society attempting to spread its tendrils into special interest groups throughout the world. This latest edition comes with additional cards and reworked graphics to bring the venerable game up to date...Re-issue of:..    Illuminati (Small plastic box with 54 black and white cards and paper money).....Expansions:..    Illuminati: Y2K.    Illuminati: Brainwash (re-work of Illuminati Expansion Set 3).    Illuminati: Bavarian Fire Drill.    Illuminati: Mutual Assured Distraction.....Spin Off:..    Illuminati: Crime Lords.....
29;4;10;2;Terrain Vague;120;Fighting,Humor;Action Point Allowance System,Modular Board;Having many system similarities to Full Metal Plan&#195 &#168 te, Terrain Vague is a war game-ish game based on young gangs of kids fighting over turf in a junk yard.  Imagine a R-rated Little Rascals movie with weapons and you get the idea...A winner of the 1992 Concours International de Cr&#195 &#169 ateurs de Jeux de Soci&#195 &#169 t&#195 &#169 ...
30;4;10;1;Dark Tower;90;Adventure,Electronic,Exploration,Fantasy,Fighting;Area Movement,Press Your Luck;An epic fantasy quest to recover an ancient magic scepter from a tyrant king in his Dark Tower, brought to life in electronic form...To vanquish the usurper, players search the four realms of the circular game board for three keys to unlock the tower's gate.  On this journey, there are battles to be fought against roving bands of brigands, dragons, plague and hunger.  There are bazaars to visit to purchase supplies and assistants for the quest.  There are uncharted territories to get lost in and tombs and ruins to plunder.  And there is a mighty army to be raised before the player can lay seige to the tower and fight either to glorious victory or crushing defeat...Dated and primitive by today's standards, Dark Tower was nevertheless an astonishing achievement when it was released in 1981.  Every aspect of the game was monitored by a small computer inside the black plastic shell of the tower itself, an unheard of innovation at the time.  Players input their moves on a small membrane keypad each turn and the computer took over from there, doing everything from conducting the progress of battles to keeping track of how much (or little) food was left to feed the players' always hungry warriors.  It could even play recognizable pieces of music at significant points during the game...
31;5;10;2;Dark World;90;Adventure,Exploration,Fantasy,Fighting,Miniatures;Dice Rolling,Grid Movement;Along the lines of HeroQuest comes a much more heavily produced game called Dark World. One player is the evil lord who controls the dungeon in which the rest of the players move their characters from room to room, fighting monsters and gaining treasure. Real working treasure chests with magic weapons inside and the figures even get to put their new weapons in their character's hands...
33;8;12;1;Arkham Horror;180;Adventure,Horror,Novel-based;Co-operative Play;Arkham Horror is a cooperative adventure game themed around H.P Lovecraft's Cthulhu Mythos.  The game has players exploring the town of Arkham as they attempt to stop unmentionable horrors from spilling into the world. It's possible for everyone to go insane and lose in this game...Re-implemented in:..Arkham Horror (2005)..
34;8;12;2;Federation & Empire;300;Science Fiction,Wargame;Hex-and-Counter;This sprawling empire game is set in the  Star Fleet Universe. Players command one or more races in a variety of scenarios as they replay the &quot historical&quot  situations in the galactic politics of the future...It is the base set for the Federation and Empire series of products...The Star Fleet Universe series is based on the game Star Fleet Battles, and Federation &amp  Empire is a strategic game based in that background.  Federation &amp  Empire is a stand alone game, and Star Fleet Battles is not required or needed to play this game...The two games are closely related, and Star Fleet Battles can be used to resolve some or all of the tactical battles of Federation &amp  Empire, and Federation &amp  Empire can be used as a campaign system for Star Fleet Battles...The original version came out in 1986, and was published by Task Force Games.  This was followed in 1990 with the &quot Deluxe&quot  version, which replaced the original release.  &quot Deluxe&quot  was indicated on the front of the box to indicate it was the new version.  The Deluxe version included a revised rule book, more counter sheets, and other player aids such as the battle board and player folio...The &quot Deluxe&quot  version had three expansions:..    Federation & Empire: Carrier War.    Federation & Empire: Module 1 &#226 &#128 &#147  Special Operations.    Federation & Empire: Module 2 &#226 &#128 &#147  Marine Assault.....In 2000, another revision of the rules was completed, and the F&amp E 2K (as it is called) version stood for a decade...In 2010 the countersheets were entirely redone (with a larger number of counters per sheet) and the rulebook was once again revised to incorporate the last 10 years of errata and rulings, allowing a better integration with the expansions that were released during this period...Expanded by:...    Federation & Empire: Advanced Operations.    Federation & Empire: Combined Operations (combined and replaced Federation & Empire: Module 1 &#226 &#128 &#147  Special Operations and Federation & Empire: Module 2 &#226 &#128 &#147  Marine Assault).    Federation & Empire: Fighter Operations (replaced Federation & Empire: Carrier War).    Federation & Empire: Planetary Operations.    Federation & Empire: Strategic Operations.    Federation & Empire ISC War...Since 2010 ADB has created, in both print and pdf form, Compendium I, II and III. The first two covered the F&amp E sections in Captains Log&rsquo s 21-40. All material for the base game from these is in the 2010 rule book however material for the expansions Advanced, Combined, Planetary and Strategic Operations are in the first two Compendiums&rsquo . Compendium III has Captains Log&rsquo s 41-50 which were all printed post 2010 rules...Fighter Operations is now updated to the 2010 standard. All relevant items from the first two Compendiums' is included...
38;4;12;2;Borderlands;120;Bluffing,Civilization,Fantasy,Negotiation,Political;Area Movement,Trading;Trying to squeeze Diplomacy into a reasonable amount of time, Eon designed Borderlands to be a game where political wrangling is a must, and a free market society fuels the ambition for conquest.  Borderlands blends the conflict and deal-making elements from Diplomacy with resource management and inspired Settlers of Catan...The German edition of the game, Ascalion, contains elements from the two Borderlands expansions...Reimplemented by..    Gearworld: The Borderlands.....
